Command,Name,Description,Operations,Data type,Units,Min,Max,Internal,Sensor name,Datamodel,Mapping,Template
r_52_td4,Temperature depth 4 (ENVIROPRO120),Temperature depth 4,r,float,celsius,N/A,N/A,No,ENVIROPRO120,,,Yes
r_52_td5,Temperature depth 5 (ENVIROPRO120),Temperature depth 5,r,float,celsius,N/A,N/A,No,ENVIROPRO120,,,Yes
r_52_td6,Temperature depth 6 (ENVIROPRO120),Temperature depth 6,r,float,celsius,N/A,N/A,No,ENVIROPRO120,,,Yes
r_52_td7,Temperature depth 7 (ENVIROPRO120),Temperature depth 7,r,float,celsius,N/A,N/A,No,ENVIROPRO120,,,Yes
r_52_td8,Temperature depth 8 (ENVIROPRO120),Temperature depth 8,r,float,celsius,N/A,N/A,No,ENVIROPRO120,,,Yes
r_52_td9,Temperature depth 9 (ENVIROPRO120),Temperature depth 9,r,float,celsius,N/A,N/A,No,ENVIROPRO120,,,Yes
r_52_td10,Temperature depth 10 (ENVIROPRO120),Temperature depth 10,r,float,celsius,N/A,N/A,No,ENVIROPRO120,,,Yes
r_52_td11,Temperature depth 11 (ENVIROPRO120),Temperature depth 11,r,float,celsius,N/A,N/A,No,ENVIROPRO120,,,Yes
r_52_mwosd0,Moisture without salinity depth 0 (ENVIROPRO120),Moisture without salinity depth 0,r,float,%,N/A,N/A,No,ENVIROPRO120,,,No
r_52_mwosd1,Moisture without salinity depth 1 (ENVIROPRO120),Moisture without salinity depth 1,r,float,%,N/A,N/A,No,ENVIROPRO120,,,No
r_52_mwosd2,Moisture without salinity depth 2 (ENVIROPRO120),Moisture without salinity depth 2,r,float,%,N/A,N/A,No,ENVIROPRO120,,,No
r_52_mwosd3,Moisture without salinity depth 3 (ENVIROPRO120),Moisture without salinity depth 3,r,float,%,N/A,N/A,No,ENVIROPRO120,,,No
r_52_mwosd4,Moisture without salinity depth 4 (ENVIROPRO120),Moisture without salinity depth 4,r,float,%,N/A,N/A,No,ENVIROPRO120,,,No
r_52_mwosd5,Moisture without salinity depth 5 (ENVIROPRO120),Moisture without salinity depth 5,r,float,%,N/A,N/A,No,ENVIROPRO120,,,No
r_52_mwosd6,Moisture without salinity depth 6 (ENVIROPRO120),Moisture without salinity depth 6,r,float,%,N/A,N/A,No,ENVIROPRO120,,,No
r_52_mwosd7,Moisture without salinity depth 7 (ENVIROPRO120),Moisture without salinity depth 7,r,float,%,N/A,N/A,No,ENVIROPRO120,,,No
r_52_mwosd8,Moisture without salinity depth 8 (ENVIROPRO120),Moisture without salinity depth 8,r,float,%,N/A,N/A,No,ENVIROPRO120,,,No
r_52_mwosd9,Moisture without salinity depth 9 (ENVIROPRO120),Moisture without salinity depth 9,r,float,%,N/A,N/A,No,ENVIROPRO120,,,No
r_52_mwosd10,Moisture without salinity depth 10 (ENVIROPRO120),Moisture without salinity depth 10,r,float,%,N/A,N/A,No,ENVIROPRO120,,,No
r_52_mwosd11,Moisture without salinity depth 11 (ENVIROPRO120),Moisture without salinity depth 11,r,float,%,N/A,N/A,No,ENVIROPRO120,,,No
